,corebeadsFL_FS,,corebeadsFL_A,,,,,FSFL_FS,,FSFL_A,,AFL_FS,,AFL_A,,,FS_A_FL_vector
3088.00 ,3088.00 ,2543.00 ,2543.00 ,,,,2899.00 ,2899.00 ,1495.00 ,1495.00 ,38.00 ,38.00 ,1047.00 ,1047.00 ,,,3425.91 
2960.00 ,2960.00 ,3808.00 ,3808.00 ,,,,2899.00 ,2899.00 ,1495.00 ,1495.00 ,43.00 ,43.00 ,2043.00 ,2043.00 ,,,3849.02 
3182.00 ,3182.00 ,5276.00 ,5276.00 ,,,,2899.00 ,2899.00 ,1495.00 ,1495.00 ,48.00 ,48.00 ,3638.00 ,3638.00 ,,,4886.37 
3208.00 ,3208.00 ,9058.00 ,9058.00 ,,,,2899.00 ,2899.00 ,1495.00 ,1495.00 ,61.00 ,61.00 ,7449.00 ,7449.00 ,,,8132.07 
3103.00 ,3103.00 ,14314.00 ,14314.00 ,,,,2899.00 ,2899.00 ,1495.00 ,1495.00 ,96.00 ,96.00 ,16071.00 ,16071.00 ,,,16398.95 
3073.00 ,3073.00 ,25878.00 ,25878.00 ,,,,2899.00 ,2899.00 ,1495.00 ,1495.00 ,156.00 ,156.00 ,31125.00 ,31125.00 ,,,31295.83 
3055.00 ,3055.00 ,46727.00 ,46727.00 ,,,,2899.00 ,2899.00 ,1495.00 ,1495.00 ,266.00 ,266.00 ,63914.00 ,63914.00 ,,,63997.73 
2998.00 ,2998.00 ,78777.00 ,78777.00 ,,,,2899.00 ,2899.00 ,1495.00 ,1495.00 ,475.00 ,475.00 ,127072.00 ,127072.00 ,,,127114.74 
8932.00 ,8932.00 ,7914.00 ,7914.00 ,,,,7759.00 ,7759.00 ,4178.00 ,4178.00 ,43.00 ,43.00 ,2043.00 ,2043.00 ,,,9046.18 
9714.00 ,9714.00 ,10560.00 ,10560.00 ,,,,7759.00 ,7759.00 ,4178.00 ,4178.00 ,48.00 ,48.00 ,3638.00 ,3638.00 ,,,9533.89 
8606.00 ,8606.00 ,16075.00 ,16075.00 ,,,,7759.00 ,7759.00 ,4178.00 ,4178.00 ,61.00 ,61.00 ,7449.00 ,7449.00 ,,,11539.02 
8564.00 ,8564.00 ,25472.00 ,25472.00 ,,,,7759.00 ,7759.00 ,4178.00 ,4178.00 ,96.00 ,96.00 ,16071.00 ,16071.00 ,,,18328.78 
8138.00 ,8138.00 ,44895.00 ,44895.00 ,,,,7759.00 ,7759.00 ,4178.00 ,4178.00 ,156.00 ,156.00 ,31125.00 ,31125.00 ,,,32348.84 
7720.00 ,7720.00 ,78785.00 ,78785.00 ,,,,7759.00 ,7759.00 ,4178.00 ,4178.00 ,266.00 ,266.00 ,63914.00 ,63914.00 ,,,64519.21 
7164.00 ,7164.00 ,131318.00 ,131318.00 ,,,,7759.00 ,7759.00 ,4178.00 ,4178.00 ,475.00 ,475.00 ,127072.00 ,127072.00 ,,,127378.09 
17354.00 ,17354.00 ,14610.00 ,14610.00 ,,,,17378.00 ,17378.00 ,9114.00 ,9114.00 ,48.00 ,48.00 ,3638.00 ,3638.00 ,,,19957.39 
16320.00 ,16320.00 ,18631.00 ,18631.00 ,,,,17378.00 ,17378.00 ,9114.00 ,9114.00 ,61.00 ,61.00 ,7449.00 ,7449.00 ,,,20989.31 
16743.00 ,16743.00 ,27821.00 ,27821.00 ,,,,17378.00 ,17378.00 ,9114.00 ,9114.00 ,96.00 ,96.00 ,16071.00 ,16071.00 ,,,25364.27 
16626.00 ,16626.00 ,44702.00 ,44702.00 ,,,,17378.00 ,17378.00 ,9114.00 ,9114.00 ,156.00 ,156.00 ,31125.00 ,31125.00 ,,,36794.70 
14499.00 ,14499.00 ,82293.00 ,82293.00 ,,,,17378.00 ,17378.00 ,9114.00 ,9114.00 ,266.00 ,266.00 ,63914.00 ,63914.00 ,,,66859.03 
13775.00 ,13775.00 ,131918.00 ,131918.00 ,,,,17378.00 ,17378.00 ,9114.00 ,9114.00 ,475.00 ,475.00 ,127072.00 ,127072.00 ,,,128579.08 
10515.00 ,10515.00 ,224146.00 ,224146.00 ,,,,11992.00 ,11992.00 ,6238.00 ,6238.00 ,694.00 ,694.00 ,235846.00 ,235846.00 ,,,236234.07 
9644.00 ,9644.00 ,341234.00 ,341234.00 ,,,,17378.00 ,17378.00 ,9114.00 ,9114.00 ,888.00 ,888.00 ,263538.00 ,263538.00 ,,,264269.04 
23021.00 ,23021.00 ,30278.00 ,30278.00 ,,,,57301.00 ,57301.00 ,34660.00 ,34660.00 ,96.00 ,96.00 ,16071.00 ,16071.00 ,,,68869.49 
39349.00 ,39349.00 ,60857.00 ,60857.00 ,,,,57301.00 ,57301.00 ,34660.00 ,34660.00 ,156.00 ,156.00 ,31125.00 ,31125.00 ,,,73847.89 
38690.00 ,38690.00 ,128898.00 ,128898.00 ,,,,57301.00 ,57301.00 ,34660.00 ,34660.00 ,888.00 ,888.00 ,263538.00 ,263538.00 ,,,271915.03 
59081.00 ,59081.00 ,96955.00 ,96955.00 ,,,,47991.00 ,47991.00 ,27934.00 ,27934.00 ,156.00 ,156.00 ,31125.00 ,31125.00 ,,,63657.16 
58554.00 ,58554.00 ,153903.00 ,153903.00 ,,,,47991.00 ,47991.00 ,27934.00 ,27934.00 ,266.00 ,266.00 ,63914.00 ,63914.00 ,,,84667.08 
49540.00 ,49540.00 ,269136.00 ,269136.00 ,,,,47991.00 ,47991.00 ,27934.00 ,27934.00 ,475.00 ,475.00 ,127072.00 ,127072.00 ,,,138675.75 
40514.00 ,40514.00 ,432000.00 ,432000.00 ,,,,47991.00 ,47991.00 ,27934.00 ,27934.00 ,888.00 ,888.00 ,263538.00 ,263538.00 ,,,269326.03 
18703.00 ,18703.00 ,259525.00 ,259525.00 ,,,,23984.00 ,23984.00 ,13069.00 ,13069.00 ,888.00 ,888.00 ,263538.00 ,263538.00 ,,,264951.12 
5844.00 ,5844.00 ,190307.00 ,190307.00 ,,,,5996.00 ,5996.00 ,3038.00 ,3038.00 ,888.00 ,888.00 ,263538.00 ,263538.00 ,,,263625.20 
3300.00 ,3300.00 ,178453.00 ,178453.00 ,,,,2998.00 ,2998.00 ,1492.00 ,1492.00 ,888.00 ,888.00 ,263538.00 ,263538.00 ,,,263560.77 
1577.00 ,1577.00 ,49871.00 ,49871.00 ,,,,1510.00 ,1510.00 ,749.00 ,749.00 ,266.00 ,266.00 ,63914.00 ,63914.00 ,,,63936.78 
5324.00 ,5324.00 ,4793.00 ,4793.00 ,,,,5036.00 ,5036.00 ,2517.00 ,2517.00 ,43.00 ,43.00 ,2043.00 ,2043.00 ,,,5989.35 
5274.00 ,5274.00 ,9753.00 ,9753.00 ,,,,5036.00 ,5036.00 ,2517.00 ,2517.00 ,61.00 ,61.00 ,7449.00 ,7449.00 ,,,9337.45 
5304.00 ,5304.00 ,17306.00 ,17306.00 ,,,,5036.00 ,5036.00 ,2517.00 ,2517.00 ,96.00 ,96.00 ,16071.00 ,16071.00 ,,,17028.88 
5277.00 ,5277.00 ,29810.00 ,29810.00 ,,,,5036.00 ,5036.00 ,2517.00 ,2517.00 ,156.00 ,156.00 ,31125.00 ,31125.00 ,,,31630.47 
4812.00 ,4812.00 ,50298.00 ,50298.00 ,,,,5036.00 ,5036.00 ,2517.00 ,2517.00 ,266.00 ,266.00 ,63914.00 ,63914.00 ,,,64162.04 
4455.00 ,4455.00 ,128412.00 ,128412.00 ,,,,5036.00 ,5036.00 ,2517.00 ,2517.00 ,496.00 ,496.00 ,136638.00 ,136638.00 ,,,136754.84 
